% IIR filter coefficients ? fixed-point integers (10 bits)
% Columns: b0  b1  b2  a0  a1  a2
73  0  -73  512  -865  365
67  0  -67  512  -866  377
62  0  -62  512  -863  387
58  0  -58  512  -858  394
55  0  -55  512  -849  401
52  0  -52  512  -836  406
50  0  -50  512  -821  411
48  0  -48  512  -801  415
46  0  -46  512  -778  419
44  0  -44  512  -752  422
43  0  -43  512  -721  425
42  0  -42  512  -685  427
40  0  -40  512  -645  430
39  0  -39  512  -600  432
38  0  -38  512  -550  434
38  0  -38  512  -495  435
37  0  -37  512  -433  437
36  0  -36  512  -366  438
36  0  -36  512  -294  439
35  0  -35  512  -215  441
34  0  -34  512  -131  442
34  0  -34  512  -42  443
33  0  -33  512  52  444
33  0  -33  512  150  444
33  0  -33  512  251  445
32  0  -32  512  355  446
32  0  -32  512  458  447
32  0  -32  512  559  447
31  0  -31  512  656  448
31  0  -31  512  746  448
31  0  -31  512  825  449
31  0  -31  512  890  449
