% IIR filter coefficients ? hex two's-complement (10 bits)
% Columns: b0  b1  b2  a0  a1  a2
049  000  000  200  000  16D
043  000  000  200  000  179
03E  000  000  200  000  183
03A  000  000  200  000  18A
037  000  000  200  000  191
034  000  000  200  000  196
032  000  000  200  000  19B
030  000  000  200  000  19F
02E  000  000  200  000  1A3
02C  000  000  200  000  1A6
02B  000  000  200  000  1A9
02A  000  000  200  000  1AB
028  000  000  200  000  1AE
027  000  000  200  000  1B0
026  000  000  200  000  1B2
026  000  000  200  000  1B3
025  000  000  200  000  1B5
024  000  000  200  000  1B6
024  000  000  200  000  1B7
023  000  000  200  000  1B9
022  000  000  200  000  1BA
022  000  000  200  000  1BB
021  000  000  200  034  1BC
021  000  000  200  096  1BC
021  000  000  200  0FB  1BD
020  000  000  200  163  1BE
020  000  000  200  1CA  1BF
020  000  000  200  22F  1BF
01F  000  000  200  290  1C0
01F  000  000  200  2EA  1C0
01F  000  000  200  339  1C1
01F  000  000  200  37A  1C1
