Band, b0, b1, b2, a1, a2
1,  0.14270032,  0.00000000, -0.14270032, -1.69018555,  0.71459961
2,  0.13123028,  0.00000000, -0.13123028, -1.69226074,  0.73754883
3,  0.12201434,  0.00000000, -0.12201434, -1.68737793,  0.75598145
4,  0.11438409,  0.00000000, -0.11438409, -1.67602539,  0.77124023
5,  0.10803230,  0.00000000, -0.10803230, -1.65832520,  0.78393555
6,  0.10260043,  0.00000000, -0.10260043, -1.63427734,  0.79479980
7,  0.09796188,  0.00000000, -0.09796188, -1.60363770,  0.80407715
8,  0.09393457,  0.00000000, -0.09393457, -1.56616211,  0.81213379
9,  0.09039420,  0.00000000, -0.09039420, -1.52136230,  0.81921387
10,  0.08728147,  0.00000000, -0.08728147, -1.46899414,  0.82543945
11,  0.08453425,  0.00000000, -0.08453425, -1.40856934,  0.83093262
12,  0.08210173,  0.00000000, -0.08210173, -1.33947754,  0.83581543
13,  0.07989586,  0.00000000, -0.07989586, -1.26123047,  0.84020996
14,  0.07788294,  0.00000000, -0.07788294, -1.17346191,  0.84423828
15,  0.07612310,  0.00000000, -0.07612310, -1.07543945,  0.84777832
16,  0.07446403,  0.00000000, -0.07446403, -0.96691895,  0.85107422
17,  0.07300215,  0.00000000, -0.07300215, -0.84741211,  0.85400391
18,  0.07165690,  0.00000000, -0.07165690, -0.71667480,  0.85668945
19,  0.07038316,  0.00000000, -0.07038316, -0.57458496,  0.85925293
20,  0.06928377,  0.00000000, -0.06928377, -0.42114258,  0.86145020
21,  0.06817651,  0.00000000, -0.06817651, -0.25683594,  0.86364746
22,  0.06720752,  0.00000000, -0.06720752, -0.08215332,  0.86560059
23,  0.06634766,  0.00000000, -0.06634766,  0.10192871,  0.86730957
24,  0.06550497,  0.00000000, -0.06550497,  0.29394531,  0.86901855
25,  0.06470086,  0.00000000, -0.06470086,  0.49206543,  0.87060547
26,  0.06403171,  0.00000000, -0.06403171,  0.69348145,  0.87194824
27,  0.06336554,  0.00000000, -0.06336554,  0.89526367,  0.87329102
28,  0.06268326,  0.00000000, -0.06268326,  1.09326172,  0.87463379
29,  0.06214710,  0.00000000, -0.06214710,  1.28271484,  0.87573242
30,  0.06158448, -0.00000000, -0.06158448,  1.45812988,  0.87683105
31,  0.06104008, -0.00000000, -0.06104008,  1.61291504,  0.87792969
32,  0.06060828, -0.00000000, -0.06060828,  1.73999023,  0.87878418
