Band, b0, b1, b2, a1, a2
1,0491,0000,FB6F,C9EA,16DE
2,0433,0000,FBCD,C9D9,179A
3,03E8,0000,FC18,CA01,1831
4,03A9,0000,FC57,CA5E,18AE
5,0375,0000,FC8B,CAEF,1916
6,0349,0000,FCB7,CBB4,196F
7,0323,0000,FCDD,CCAF,19BB
8,0302,0000,FCFE,CDE2,19FD
9,02E5,0000,FD1B,CF51,1A37
10,02CB,0000,FD35,D0FE,1A6A
11,02B5,0000,FD4B,D2ED,1A97
12,02A1,0000,FD5F,D523,1ABF
13,028F,0000,FD71,D7A4,1AE3
14,027E,0000,FD82,DA73,1B04
15,0270,0000,FD90,DD96,1B21
16,0262,0000,FD9E,E10F,1B3C
17,0256,0000,FDAA,E4E2,1B54
18,024B,0000,FDB5,E911,1B6A
19,0241,0000,FDBF,ED9D,1B7F
20,0238,0000,FDC8,F286,1B91
21,022F,0000,FDD1,F7C8,1BA3
22,0227,0000,FDD9,FD5F,1BB3
23,0220,0000,FDE0,0343,1BC1
24,0219,0000,FDE7,0968,1BCF
25,0212,0000,FDEE,0FBF,1BDC
26,020D,0000,FDF3,1631,1BE7
27,0207,0000,FDF9,1CA6,1BF2
28,0202,0000,FDFE,22FC,1BFD
29,01FD,0000,FE03,290C,1C06
30,01F9,0000,FE07,2EA9,1C0F
31,01F4,0000,FE0C,339D,1C18
32,01F1,0000,FE0F,37AE,1C1F
