Band, b0, b1, b2, a1, a2
1,  0.14269701,  0.00000000, -0.14269701, -1.69017160,  0.71460597
2,  0.13124308,  0.00000000, -0.13124308, -1.69223168,  0.73751385
3,  0.12199716,  0.00000000, -0.12199716, -1.68738452,  0.75600569
4,  0.11438235,  0.00000000, -0.11438235, -1.67604362,  0.77123530
5,  0.10800719,  0.00000000, -0.10800719, -1.65835458,  0.78398561
6,  0.10259648,  0.00000000, -0.10259648, -1.63427511,  0.79480704
7,  0.09795099,  0.00000000, -0.09795099, -1.60362565,  0.80409803
8,  0.09392289,  0.00000000, -0.09392289, -1.56612308,  0.81215422
9,  0.09040016,  0.00000000, -0.09040016, -1.52140450,  0.81919968
10,  0.08729633,  0.00000000, -0.08729633, -1.46904571,  0.82540734
11,  0.08454359,  0.00000000, -0.08454359, -1.40857685,  0.83091282
12,  0.08208800,  0.00000000, -0.08208800, -1.33949734,  0.83582400
13,  0.07988611,  0.00000000, -0.07988611, -1.26129126,  0.84022777
14,  0.07790254,  0.00000000, -0.07790254, -1.17344456,  0.84419492
15,  0.07610816,  0.00000000, -0.07610816, -1.07546487,  0.84778368
16,  0.07447879,  0.00000000, -0.07447879, -0.96690481,  0.85104242
17,  0.07299418,  0.00000000, -0.07299418, -0.84738984,  0.85401164
18,  0.07163725,  0.00000000, -0.07163725, -0.71665117,  0.85672550
19,  0.07039347,  0.00000000, -0.07039347, -0.57456474,  0.85921305
20,  0.06925044,  0.00000000, -0.06925044, -0.42119670,  0.86149912
21,  0.06819746,  0.00000000, -0.06819746, -0.25685604,  0.86360508
22,  0.06722531,  0.00000000, -0.06722531, -0.08215448,  0.86554939
23,  0.06632593,  0.00000000, -0.06632593,  0.10192658,  0.86734813
24,  0.06549233,  0.00000000, -0.06549233,  0.29396267,  0.86901535
25,  0.06471832,  0.00000000, -0.06471832,  0.49200827,  0.87056335
26,  0.06399850,  0.00000000, -0.06399850,  0.69351662,  0.87200300
27,  0.06332805,  0.00000000, -0.06332805,  0.89526161,  0.87334390
28,  0.06270271,  0.00000000, -0.06270271,  1.09326768,  0.87459458
29,  0.06211868,  0.00000000, -0.06211868,  1.28275566,  0.87576263
30,  0.06157257, -0.00000000, -0.06157257,  1.45811557,  0.87685486
31,  0.06106133, -0.00000000, -0.06106133,  1.61291994,  0.87787734
32,  0.06058221, -0.00000000, -0.06058221,  1.73999467,  0.87883557
